time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
305000,SAT_59943,STARLINK-31973,SAT,-1552892.81,5961249.78,3012407.46,483.31,-1,10.0.3.18,59943,666.42,6857.300760792354
305000,SAT_57671,STARLINK-30296,SAT,-1174541.54,6022752.93,3044098.76,475.89,-1,10.0.3.41,57671,684.52,6849.791087737106
306000,SAT_62474,STARLINK-11502 [DTC],SAT,-1644156.65,5587464.13,3370512.89,356.54,-1,10.0.3.254,62474,412.07,6729.291466078136
306000,SAT_58748,STARLINK-31165,SAT,-1417093.08,5845602.47,3325818.57,500.04,-1,10.0.3.98,58748,511.12,6873.157221773035
306000,SAT_60445,STARLINK-32228,SAT,-1712383.54,5668825.67,3441302.54,476.4,-1,10.0.3.10,60445,542.79,6849.117099066443
306000,SAT_57931,STARLINK-30488,SAT,-1582026.21,5723296.56,3577506.52,559.93,-1,10.0.3.46,57931,582.48,6932.350491967159
306000,SAT_60935,STARLINK-11253 [DTC],SAT,-1160628.07,5883700.53,3063034.79,360.33,-1,10.0.3.245,60935,592.71,6734.030855909747
306000,SAT_64911,STARLINK-34718,SAT,-1475656.07,5933536.35,3087740.68,475.94,-1,10.0.3.141,64911,612.21,6849.712180860304
306000,SAT_64928,STARLINK-34248,SAT,-1842204.51,5587589.31,3506863.42,476.79,-1,10.0.3.158,64928,623.59,6849.303818668341
306000,SAT_53996,STARLINK-5131,SAT,-1764668.99,5898430.23,3146198.96,540.36,-1,10.0.3.191,53996,659.3,6914.05117990535
306000,SAT_59943,STARLINK-31973,SAT,-1557974.38,5957906.5,3016383.23,483.31,-1,10.0.3.18,59943,666.42,6857.295518037987
306000,SAT_57671,STARLINK-30296,SAT,-1179598.04,6024338.74,3039020.28,475.89,-1,10.0.3.41,57671,684.52,6849.79948994771
307000,SAT_62474,STARLINK-11502 [DTC],SAT,-1650572.82,5587726.19,3366949.61,356.53,-1,10.0.3.254,62474,412.07,6729.2959724486645
307000,SAT_58748,STARLINK-31165,SAT,-1423331.49,5846174.58,3322157.52,500.04,-1,10.0.3.98,58748,511.12,6873.162324429443
307000,SAT_60445,STARLINK-32228,SAT,-1717836.07,5670068.69,3436549.9,476.39,-1,10.0.3.10,60445,542.79,6849.125121349542
307000,SAT_57931,STARLINK-30488,SAT,-1587306.83,5719714.78,3580884.97,559.93,-1,10.0.3.46,57931,582.48,6932.345728935265
307000,SAT_60935,STARLINK-11253 [DTC],SAT,-1164779.62,5880231.48,3068098.03,360.34,-1,10.0.3.245,60935,592.71,6734.022523220443
307000,SAT_64911,STARLINK-34718,SAT,-1479579.44,5929922.87,3092782.47,475.94,-1,10.0.3.141,64911,612.21,6849.703933029446
307000,SAT_64928,STARLINK-34248,SAT,-1845976.51,5583388.45,3511551.6,476.8,-1,10.0.3.158,64928,623.59,6849.29562061149
307000,SAT_53996,STARLINK-5131,SAT,-1769866.25,5899550.22,3141193.69,540.35,-1,10.0.3.191,53996,659.3,6914.059382105922
307000,SAT_59943,STARLINK-31973,SAT,-1563054.53,5954556.62,3020355.26,483.32,-1,10.0.3.18,59943,666.42,6857.290273945607
307000,SAT_57671,STARLINK-30296,SAT,-1184652.86,6025917.85,3033938.02,475.88,-1,10.0.3.41,57671,684.52,6849.807898244762
308000,SAT_62474,STARLINK-11502 [DTC],SAT,-1656986.8,5587981.91,3363381.91,356.52,-1,10.0.3.254,62474,412.07,6729.300480315673
308000,SAT_58748,STARLINK-31165,SAT,-1429568.07,5846740.47,3318492.39,500.03,-1,10.0.3.98,58748,511.12,6873.167445420434
308000,SAT_60445,STARLINK-32228,SAT,-1723286.3,5671305.51,3431792.99,476.38,-1,10.0.3.10,60445,542.79,6849.133155789657
308000,SAT_57931,STARLINK-30488,SAT,-1592586.09,5716126.97,3584259.12,559.94,-1,10.0.3.46,57931,582.48,6932.340977658704
308000,SAT_60935,STARLINK-11253 [DTC],SAT,-1168930.16,5876755.39,3073157.26,360.35,-1,10.0.3.245,60935,592.71,6734.014194931755
308000,SAT_64911,STARLINK-34718,SAT,-1483501.5,5926302.63,3097820.42,475.95,-1,10.0.3.141,64911,612.21,6849.695680642764
308000,SAT_64928,STARLINK-34248,SAT,-1849746.85,5579181.23,3516235.41,476.81,-1,10.0.3.158,64928,623.59,6849.287412921662
308000,SAT_53996,STARLINK-5131,SAT,-1775061.22,5900663.88,3136184.63,540.35,-1,10.0.3.191,53996,659.3,6914.067586662194
308000,SAT_59943,STARLINK-31973,SAT,-1568133.24,5951200.15,3024323.54,483.32,-1,10.0.3.18,59943,666.42,6857.285028227357
308000,SAT_57671,STARLINK-30296,SAT,-1189705.98,6027490.26,3028851.99,475.88,-1,10.0.3.41,57671,684.52,6849.816313637146
309000,SAT_62474,STARLINK-11502 [DTC],SAT,-1663398.58,5588231.29,3359809.8,356.52,-1,10.0.3.254,62474,412.07,6729.304992245271
309000,SAT_58748,STARLINK-31165,SAT,-1435802.83,5847300.11,3314823.17,500.03,-1,10.0.3.98,58748,511.12,6873.172556498991
309000,SAT_60445,STARLINK-32228,SAT,-1728734.22,5672536.12,3427031.81,476.38,-1,10.0.3.10,60445,542.79,6849.1411916280085
309000,SAT_57931,STARLINK-30488,SAT,-1597863.97,5712533.11,3587628.98,559.95,-1,10.0.3.46,57931,582.48,6932.336222198565
309000,SAT_60935,STARLINK-11253 [DTC],SAT,-1173079.69,5873272.27,3078212.46,360.35,-1,10.0.3.245,60935,592.71,6734.005870619708
