time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
900,UAV_01,RELAY,UAV,-1337511.6,5364466.6,3170637.0,10.0.0.2,302.4,99.9
900,UAV_02,RELAY,UAV,-1336766.6,5364324.2,3171188.5,10.0.0.3,223.8,99.9
900,UAV_03,RELAY,UAV,-1338639.2,5363917.7,3171087.1,10.0.0.4,336.3,99.9
900,UAV_04,RELAY,UAV,-1335920.9,5364849.2,3170660.6,10.0.0.5,181.5,99.9
900,UAV_05,RELAY,UAV,-1337871.7,5365353.4,3168995.9,10.0.0.6,86.3,99.9
900,UAV_06,RELAY,UAV,-1336866.4,5363564.5,3172423.5,10.0.0.7,259.1,99.9
900,UAV_07,RELAY,UAV,-1336940.2,5363432.0,3172615.3,10.0.0.8,263.2,99.9
1000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1000,UAV_01,RELAY,UAV,-1337510.3,5364466.6,3170637.6,10.0.0.2,293.6,99.9
1000,UAV_02,RELAY,UAV,-1336765.7,5364325.0,3171187.5,10.0.0.3,223.8,99.9
1000,UAV_03,RELAY,UAV,-1338638.4,5363917.1,3171088.3,10.0.0.4,336.3,99.9
1000,UAV_04,RELAY,UAV,-1335921.1,5364849.9,3170659.3,10.0.0.5,181.5,99.9
1000,UAV_05,RELAY,UAV,-1337873.2,5365352.9,3168996.0,10.0.0.6,86.3,99.9
1000,UAV_06,RELAY,UAV,-1336865.0,5363565.0,3172423.3,10.0.0.7,259.1,99.9
1000,UAV_07,RELAY,UAV,-1336938.7,5363432.4,3172615.1,10.0.0.8,263.2,99.9
1100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1100,UAV_01,RELAY,UAV,-1337508.8,5364466.7,3170638.1,10.0.0.2,285.1,99.9
1100,UAV_02,RELAY,UAV,-1336764.8,5364325.8,3171186.6,10.0.0.3,223.8,99.9
1100,UAV_03,RELAY,UAV,-1338637.7,5363916.6,3171089.5,10.0.0.4,336.3,99.9
1100,UAV_04,RELAY,UAV,-1335921.2,5364850.6,3170658.0,10.0.0.5,181.5,99.9
1100,UAV_05,RELAY,UAV,-1337874.6,5365352.5,3168996.0,10.0.0.6,86.3,99.9
1100,UAV_06,RELAY,UAV,-1336863.6,5363565.5,3172423.0,10.0.0.7,259.1,99.9
1100,UAV_07,RELAY,UAV,-1336937.3,5363432.9,3172615.0,10.0.0.8,263.2,99.9
1200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1200,UAV_01,RELAY,UAV,-1337507.4,5364466.9,3170638.3,10.0.0.2,276.7,99.9
1200,UAV_02,RELAY,UAV,-1336763.9,5364326.6,3171185.7,10.0.0.3,223.8,99.9
1200,UAV_03,RELAY,UAV,-1338636.9,5363916.1,3171090.7,10.0.0.4,336.3,99.9
1200,UAV_04,RELAY,UAV,-1335921.4,5364851.4,3170656.7,10.0.0.5,181.5,99.9
1200,UAV_05,RELAY,UAV,-1337876.0,5365352.1,3168996.1,10.0.0.6,86.3,99.9
1200,UAV_06,RELAY,UAV,-1336862.2,5363566.0,3172422.8,10.0.0.7,259.1,99.9
1200,UAV_07,RELAY,UAV,-1336935.9,5363433.3,3172614.8,10.0.0.8,261.8,99.9
1300,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1300,UAV_01,RELAY,UAV,-1337505.9,5364467.2,3170638.4,10.0.0.2,270.0,99.9
1300,UAV_02,RELAY,UAV,-1336763.1,5364327.3,3171184.7,10.0.0.3,223.8,99.9
1300,UAV_03,RELAY,UAV,-1338636.2,5363915.6,3171091.9,10.0.0.4,336.3,99.9
1300,UAV_04,RELAY,UAV,-1335921.5,5364852.1,3170655.5,10.0.0.5,181.5,99.9
1300,UAV_05,RELAY,UAV,-1337877.5,5365351.7,3168996.2,10.0.0.6,86.3,99.9
1300,UAV_06,RELAY,UAV,-1336860.8,5363566.5,3172422.5,10.0.0.7,259.1,99.9
1300,UAV_07,RELAY,UAV,-1336934.5,5363433.8,3172614.6,10.0.0.8,261.8,99.9
1400,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1400,UAV_01,RELAY,UAV,-1337504.5,5364467.6,3170638.3,10.0.0.2,263.5,99.9
1400,UAV_02,RELAY,UAV,-1336762.2,5364328.1,3171183.8,10.0.0.3,223.8,99.9
1400,UAV_03,RELAY,UAV,-1338635.4,5363915.1,3171093.1,10.0.0.4,336.3,99.9
1400,UAV_04,RELAY,UAV,-1335921.7,5364852.8,3170654.2,10.0.0.5,181.5,99.9
1400,UAV_05,RELAY,UAV,-1337878.9,5365351.3,3168996.3,10.0.0.6,86.3,99.9
1400,UAV_06,RELAY,UAV,-1336859.4,5363566.9,3172422.3,10.0.0.7,259.1,99.9
1400,UAV_07,RELAY,UAV,-1336933.1,5363434.2,3172614.4,10.0.0.8,261.8,99.9
1500,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1500,UAV_01,RELAY,UAV,-1337503.1,5364468.1,3170638.1,10.0.0.2,257.0,99.8
1500,UAV_02,RELAY,UAV,-1336761.3,5364328.9,3171182.9,10.0.0.3,222.4,99.8
1500,UAV_03,RELAY,UAV,-1338634.7,5363914.5,3171094.3,10.0.0.4,336.3,99.8
1500,UAV_04,RELAY,UAV,-1335921.8,5364853.6,3170652.9,10.0.0.5,181.5,99.8
1500,UAV_05,RELAY,UAV,-1337880.4,5365350.9,3168996.4,10.0.0.6,86.3,99.8
1500,UAV_06,RELAY,UAV,-1336858.0,5363567.4,3172422.0,10.0.0.7,259.1,99.8
1500,UAV_07,RELAY,UAV,-1336931.7,5363434.7,3172614.3,10.0.0.8,261.8,99.8
1600,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1600,UAV_01,RELAY,UAV,-1337501.7,5364468.7,3170637.7,10.0.0.2,250.6,99.8
1600,UAV_02,RELAY,UAV,-1336760.5,5364329.7,3171181.9,10.0.0.3,222.4,99.8
1600,UAV_03,RELAY,UAV,-1338633.9,5363914.0,3171095.5,10.0.0.4,336.3,99.8
1600,UAV_04,RELAY,UAV,-1335921.9,5364854.3,3170651.6,10.0.0.5,181.5,99.8
1600,UAV_05,RELAY,UAV,-1337881.8,5365350.5,3168996.5,10.0.0.6,86.3,99.8
1600,UAV_06,RELAY,UAV,-1336856.6,5363567.9,3172421.8,10.0.0.7,259.1,99.8
1600,UAV_07,RELAY,UAV,-1336930.2,5363435.2,3172614.1,10.0.0.8,261.8,99.8
1700,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1700,UAV_01,RELAY,UAV,-1337500.4,5364469.3,3170637.2,10.0.0.2,244.3,99.8
1700,UAV_02,RELAY,UAV,-1336759.6,5364330.5,3171180.9,10.0.0.3,222.4,99.8
1700,UAV_03,RELAY,UAV,-1338633.2,5363913.5,3171096.6,10.0.0.4,336.3,99.8
1700,UAV_04,RELAY,UAV,-1335922.1,5364855.1,3170650.3,10.0.0.5,181.5,99.8
1700,UAV_05,RELAY,UAV,-1337883.2,5365350.1,3168996.5,10.0.0.6,86.3,99.8
1700,UAV_06,RELAY,UAV,-1336855.2,5363568.4,3172421.6,10.0.0.7,259.1,99.8
1700,UAV_07,RELAY,UAV,-1336928.8,5363435.6,3172613.9,10.0.0.8,261.8,99.8
1800,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1800,UAV_01,RELAY,UAV,-1337499.3,5364470.0,3170636.5,10.0.0.2,238.0,99.8
1800,UAV_02,RELAY,UAV,-1336758.8,5364331.2,3171180.0,10.0.0.3,222.4,99.8
1800,UAV_03,RELAY,UAV,-1338632.4,5363913.0,3171097.8,10.0.0.4,336.3,99.8
1800,UAV_04,RELAY,UAV,-1335922.2,5364855.8,3170649.0,10.0.0.5,181.5,99.8
1800,UAV_05,RELAY,UAV,-1337884.7,5365349.7,3168996.6,10.0.0.6,86.3,99.8
1800,UAV_06,RELAY,UAV,-1336853.8,5363568.9,3172421.3,10.0.0.7,259.1,99.8
1800,UAV_07,RELAY,UAV,-1336927.4,5363436.1,3172613.7,10.0.0.8,261.8,99.8
1900,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1900,UAV_01,RELAY,UAV,-1337498.2,5364470.7,3170635.8,10.0.0.2,233.4,99.8
1900,UAV_02,RELAY,UAV,-1336757.9,5364332.0,3171179.0,10.0.0.3,222.4,99.8
1900,UAV_03,RELAY,UAV,-1338631.7,5363912.5,3171099.0,10.0.0.4,336.3,99.8
1900,UAV_04,RELAY,UAV,-1335922.4,5364856.5,3170647.7,10.0.0.5,181.5,99.8
1900,UAV_05,RELAY,UAV,-1337886.1,5365349.3,3168996.7,10.0.0.6,86.3,99.8
1900,UAV_06,RELAY,UAV,-1336852.5,5363569.4,3172421.1,10.0.0.7,259.1,99.8
1900,UAV_07,RELAY,UAV,-1336926.0,5363436.6,3172613.5,10.0.0.8,261.8,99.8
2000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2000,UAV_01,RELAY,UAV,-1337497.2,5364471.4,3170635.0,10.0.0.2,227.2,99.8
2000,UAV_02,RELAY,UAV,-1336757.1,5364332.8,3171178.1,10.0.0.3,222.4,99.8
2000,UAV_03,RELAY,UAV,-1338630.9,5363911.9,3171100.2,10.0.0.4,336.3,99.8
2000,UAV_04,RELAY,UAV,-1335922.5,5364857.3,3170646.4,10.0.0.5,181.5,99.8
2000,UAV_05,RELAY,UAV,-1337887.6,5365348.9,3168996.8,10.0.0.6,86.3,99.8
2000,UAV_06,RELAY,UAV,-1336851.1,5363569.9,3172420.8,10.0.0.7,259.1,99.8
2000,UAV_07,RELAY,UAV,-1336924.6,5363437.0,3172613.3,10.0.0.8,261.8,99.8
2100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2100,UAV_01,RELAY,UAV,-1337496.3,5364472.2,3170634.1,10.0.0.2,222.5,99.8
